neigbourhood	private	public
Fisherman's Wharf	129	128
Financial District	2952	1189
Parkmerced	32	13
Outer Richmond	4708	2463
West Portal	504	163
Golden Gate Heights	368	142
Cow Hollow	300	87
Bernal Heights	2188	1156
South of Market	8770	15194
Treasure Island	19	11
Duboce Triangle	4351	1577
Visitacion Valley	539	732
Apparel City	402	191
Marina	1947	521
Merced Manor	108	138
Oceanview	269	256
Parnassus Heights	753	126
Little Hollywood	227	79
Forest Hill	170	27
Seacliff	178	37
Mission Bay	230	80
St. Mary's Park	108	50
Chinatown	4098	9879
Miraloma Park	180	47
Mint Hill	715	420
Outer Sunset	4209	2104
Treasure Island/YBI	0	2
Downtown/Civic Center	2156	3653
Stonestown	186	122
Eureka Valley	883	195
Cole Valley	1481	332
South Beach	290	265
Presidio Terrace	428	46
Portola	999	1658
Sunnyside	399	112
Silver Terrace	338	349
Downtown / Union Square	1048	610
Showplace Square	163	185
Golden Gate Park	3447	206
Lower Pacific Heights	1889	396
Lake Street	101	14
Castro/Upper Market	2158	877
Bret Harte	316	205
McLaren Park	53	7
Produce Market	103	269
Forest Knolls	59	22
Rincon Hill	236	87
Lakeshore	625	228
Crocker Amazon	584	940
Haight Ashbury	11200	4676
Ingleside Terraces	153	49
Telegraph Hill	116	75
Sunnydale	8	24
Corona Heights	410	126
University Mound	153	51
Outer Mission	1769	2092
Balboa Terrace	25	23
Twin Peaks	288	66
Clarendon Heights	247	56
Mission Dolores	6486	5071
Inner Richmond	11629	5318
Lower Haight	3827	1832
Japantown	818	256
Glen Park	726	227
Peralta Heights	155	59
Parkside	2096	1324
Mission Terrace	975	809
Buena Vista	2787	808
St. Francis Wood	26	3
Aquatic Park / Ft. Mason	181	36
Hayes Valley	2185	730
India Basin	28	27
Merced Heights	136	115
Laurel Heights / Jordan Park	929	483
Lincoln Park / Ft. Miley	53	11
Dolores Heights	1383	392
Nob Hill	3304	2882
Ashbury Heights	415	73
Diamond Heights	174	31
Noe Valley	966	338
North Beach	1622	2168
Sherwood Forest	41	6
Mt. Davidson Manor	82	52
Holly Park	316	160
Bayview	1258	1789
Laguna Honda	184	24
Civic Center	4031	2656
Hunters Point	16	90
Sutro Heights	348	98
Tenderloin	3340	3710
Presidio National Park	63	12
Polk Gulch	871	712
Midtown Terrace	95	9
Western Addition	11081	5320
Inner Sunset	3771	1630
Presidio Heights	1403	401
Anza Vista	469	174
Westwood Park	97	140
Potrero Hill	2935	2382
Pacific Heights	2536	456
Excelsior	7191	5396
Monterey Heights	2	1
Panhandle	3375	1037
Central Waterfront	368	319
Ingleside	191	194
West of Twin Peaks	659	685
Alamo Square	1012	532
Castro	847	680
Lower Nob Hill	2599	2542
Cathedral Hill	1203	493
Lone Mountain	2911	649
Ocean View	484	987
Northern Waterfront	392	172
Upper Market	422	87
Westwood Highlands	6	0
Fairmount	154	64
Union Street	589	249
Presidio	71	3
Mission	28698	30123
Russian Hill	2056	1099
Cayuga	912	862
Dogpatch	867	361
Candlestick Point SRA	4	2
